generation,strategy,count,share
0,ALLC,29,0.145000
0,ALLD,29,0.145000
0,CTFT,28,0.140000
0,GRIM,29,0.145000
0,PAVLOV,28,0.140000
0,PROBER,28,0.140000
0,TFT,29,0.145000
1,ALLC,0,0.000000
1,ALLD,17,0.085000
1,CTFT,42,0.210000
1,GRIM,15,0.075000
1,PAVLOV,34,0.170000
1,PROBER,54,0.270000
1,TFT,38,0.190000
2,ALLC,0,0.000000
2,ALLD,7,0.035000
2,CTFT,46,0.230000
2,GRIM,6,0.030000
2,PAVLOV,30,0.150000
2,PROBER,75,0.375000
2,TFT,36,0.180000
3,ALLC,0,0.000000
3,ALLD,3,0.015000
3,CTFT,45,0.225000
3,GRIM,2,0.010000
3,PAVLOV,25,0.125000
3,PROBER,94,0.470000
3,TFT,31,0.155000
4,ALLC,0,0.000000
4,ALLD,1,0.005000
4,CTFT,42,0.210000
4,GRIM,1,0.005000
4,PAVLOV,20,0.100000
4,PROBER,111,0.555000
4,TFT,25,0.125000
5,ALLC,0,0.000000
5,ALLD,0,0.000000
5,CTFT,38,0.190000
5,GRIM,0,0.000000
5,PAVLOV,16,0.080000
5,PROBER,125,0.625000
5,TFT,21,0.105000
6,ALLC,0,0.000000
6,ALLD,0,0.000000
6,CTFT,34,0.170000
6,GRIM,0,0.000000
6,PAVLOV,11,0.055000
6,PROBER,138,0.690000
6,TFT,17,0.085000
7,ALLC,0,0.000000
7,ALLD,0,0.000000
7,CTFT,30,0.150000
7,GRIM,0,0.000000
7,PAVLOV,8,0.040000
7,PROBER,149,0.745000
7,TFT,13,0.065000
8,ALLC,0,0.000000
8,ALLD,0,0.000000
8,CTFT,26,0.130000
8,GRIM,0,0.000000
8,PAVLOV,5,0.025000
8,PROBER,158,0.790000
8,TFT,11,0.055000
9,ALLC,0,0.000000
9,ALLD,0,0.000000
9,CTFT,24,0.120000
9,GRIM,0,0.000000
9,PAVLOV,3,0.015000
9,PROBER,164,0.820000
9,TFT,9,0.045000
10,ALLC,0,0.000000
10,ALLD,0,0.000000
10,CTFT,22,0.110000
10,GRIM,0,0.000000
10,PAVLOV,2,0.010000
10,PROBER,169,0.845000
10,TFT,7,0.035000
11,ALLC,0,0.000000
11,ALLD,0,0.000000
11,CTFT,21,0.105000
11,GRIM,0,0.000000
11,PAVLOV,1,0.005000
11,PROBER,172,0.860000
11,TFT,6,0.030000
12,ALLC,0,0.000000
12,ALLD,0,0.000000
12,CTFT,20,0.100000
12,GRIM,0,0.000000
12,PAVLOV,1,0.005000
12,PROBER,174,0.870000
12,TFT,5,0.025000
13,ALLC,0,0.000000
13,ALLD,0,0.000000
13,CTFT,19,0.095000
13,GRIM,0,0.000000
13,PAVLOV,1,0.005000
13,PROBER,176,0.880000
13,TFT,4,0.020000
14,ALLC,0,0.000000
14,ALLD,0,0.000000
14,CTFT,18,0.090000
14,GRIM,0,0.000000
14,PAVLOV,1,0.005000
14,PROBER,177,0.885000
14,TFT,4,0.020000
15,ALLC,0,0.000000
15,ALLD,0,0.000000
15,CTFT,17,0.085000
15,GRIM,0,0.000000
15,PAVLOV,1,0.005000
15,PROBER,178,0.890000
15,TFT,4,0.020000
16,ALLC,0,0.000000
16,ALLD,0,0.000000
16,CTFT,17,0.085000
16,GRIM,0,0.000000
16,PAVLOV,0,0.000000
16,PROBER,179,0.895000
16,TFT,4,0.020000
17,ALLC,0,0.000000
17,ALLD,0,0.000000
17,CTFT,17,0.085000
17,GRIM,0,0.000000
17,PAVLOV,0,0.000000
17,PROBER,179,0.895000
17,TFT,4,0.020000
18,ALLC,0,0.000000
18,ALLD,0,0.000000
18,CTFT,17,0.085000
18,GRIM,0,0.000000
18,PAVLOV,0,0.000000
18,PROBER,179,0.895000
18,TFT,4,0.020000
19,ALLC,0,0.000000
19,ALLD,0,0.000000
19,CTFT,17,0.085000
19,GRIM,0,0.000000
19,PAVLOV,0,0.000000
19,PROBER,179,0.895000
19,TFT,4,0.020000
20,ALLC,0,0.000000
20,ALLD,0,0.000000
20,CTFT,17,0.085000
20,GRIM,0,0.000000
20,PAVLOV,0,0.000000
20,PROBER,179,0.895000
20,TFT,4,0.020000
21,ALLC,0,0.000000
21,ALLD,0,0.000000
21,CTFT,17,0.085000
21,GRIM,0,0.000000
21,PAVLOV,0,0.000000
21,PROBER,179,0.895000
21,TFT,4,0.020000
22,ALLC,0,0.000000
22,ALLD,0,0.000000
22,CTFT,17,0.085000
22,GRIM,0,0.000000
22,PAVLOV,0,0.000000
22,PROBER,179,0.895000
22,TFT,4,0.020000
23,ALLC,0,0.000000
23,ALLD,0,0.000000
23,CTFT,17,0.085000
23,GRIM,0,0.000000
23,PAVLOV,0,0.000000
23,PROBER,179,0.895000
23,TFT,4,0.020000
24,ALLC,0,0.000000
24,ALLD,0,0.000000
24,CTFT,17,0.085000
24,GRIM,0,0.000000
24,PAVLOV,0,0.000000
24,PROBER,179,0.895000
24,TFT,4,0.020000
25,ALLC,0,0.000000
25,ALLD,0,0.000000
25,CTFT,17,0.085000
25,GRIM,0,0.000000
25,PAVLOV,0,0.000000
25,PROBER,179,0.895000
25,TFT,4,0.020000
26,ALLC,0,0.000000
26,ALLD,0,0.000000
26,CTFT,17,0.085000
26,GRIM,0,0.000000
26,PAVLOV,0,0.000000
26,PROBER,179,0.895000
26,TFT,4,0.020000
27,ALLC,0,0.000000
27,ALLD,0,0.000000
27,CTFT,17,0.085000
27,GRIM,0,0.000000
27,PAVLOV,0,0.000000
27,PROBER,179,0.895000
27,TFT,4,0.020000
28,ALLC,0,0.000000
28,ALLD,0,0.000000
28,CTFT,17,0.085000
