strategy,epsilon,mean,stdev,ci95_low,ci95_high,coop_rate,echo_length,delta_mean
CTFT,0.0,2.975537,0.064903,2.968832,2.982242,0.989778,3.963446,nan
CTFT,0.05,2.34213,0.718307,2.267928,2.416332,0.777741,5.945484,-12.668140000000001
CTFT,0.1,2.247593,0.627666,2.182754,2.312431,0.712648,5.325869,-1.8907399999999974
CTFT,0.2,2.172352,0.462817,2.124542,2.220161,0.639444,5.052757,-0.7524100000000011
Empath,0.0,2.952463,0.140678,2.937931,2.966995,0.967759,4.821674,nan
Empath,0.05,2.268796,0.54342,2.21266,2.324932,0.576667,8.0,-13.673339999999996
Empath,0.1,2.230685,0.492691,2.17979,2.281581,0.552759,7.040318,-0.7622200000000046
Empath,0.2,2.190926,0.405269,2.149061,2.232791,0.524074,6.285556,-0.39758999999999656
GRIM,0.0,2.739556,0.58584,2.679038,2.800073,0.83563,148.933333,nan
GRIM,0.05,1.788704,0.625081,1.724132,1.853275,0.107889,60.847437,-19.017039999999994
GRIM,0.1,1.963556,0.531197,1.908682,2.018429,0.130296,31.426259,3.49704
GRIM,0.2,2.249981,0.435487,2.204995,2.294968,0.211037,14.106876,2.8642499999999993
PAVLOV,0.0,2.952963,0.143295,2.93816,2.967765,0.967685,6.379722,nan
PAVLOV,0.05,2.148296,0.493808,2.097285,2.199307,0.508241,11.263966,-16.093339999999994
PAVLOV,0.1,2.151278,0.480473,2.101644,2.200911,0.49563,8.695533,0.05963999999999636
PAVLOV,0.2,2.182019,0.405438,2.140136,2.223901,0.49413,6.545184,0.3074099999999991
Reflector,0.0,2.479074,0.717791,2.404926,2.553223,0.717259,7.724195,nan
Reflector,0.05,2.286074,0.614673,2.222578,2.34957,0.605852,5.810431,-3.860000000000001
Reflector,0.1,2.226926,0.553398,2.169759,2.284093,0.568685,5.640451,-1.1829599999999996
Reflector,0.2,2.174148,0.441937,2.128496,2.219801,0.545778,5.356427,-0.5277799999999999
TFT,0.0,2.95613,0.134301,2.942256,2.970003,0.969574,5.97093,nan
TFT,0.05,2.289778,0.553913,2.232558,2.346998,0.556759,11.891275,-13.327039999999997
TFT,0.1,2.24087,0.494372,2.189801,2.29194,0.518148,9.462039,-0.978159999999999
TFT,0.2,2.21637,0.407576,2.174267,2.258473,0.498444,7.321262,-0.24500000000000188
