setting,exploiter,target,exploiter_mean,target_mean,gap
no_noise,PROBER,ALLC,2.886417,2.196708,0.6897089999999997
no_noise,PROBER,TFT,2.886417,2.718472,0.16794499999999957
no_noise,PROBER,CTFT,2.886417,2.731792,0.1546249999999998
no_noise,PROBER,PAVLOV,2.886417,2.718458,0.16795899999999975
no_noise,PROBER,Empath,2.886417,2.683222,0.20319499999999957
no_noise,PROBER,Reflector,2.886417,2.566444,0.3199729999999996
no_noise,ALLD,ALLC,1.564667,2.196708,-0.6320410000000001
no_noise,ALLD,TFT,1.564667,2.718472,-1.1538050000000002
no_noise,ALLD,CTFT,1.564667,2.731792,-1.167125
no_noise,ALLD,PAVLOV,1.564667,2.718458,-1.153791
no_noise,ALLD,Empath,1.564667,2.683222,-1.1185550000000002
no_noise,ALLD,Reflector,1.564667,2.566444,-1.0017770000000001
noise,PROBER,ALLC,2.502958,2.150778,0.35218000000000016
noise,PROBER,TFT,2.502958,2.346069,0.15688900000000006
noise,PROBER,CTFT,2.502958,2.423653,0.07930500000000018
noise,PROBER,PAVLOV,2.502958,2.256444,0.2465139999999999
noise,PROBER,Empath,2.502958,2.378278,0.12468000000000012
noise,PROBER,Reflector,2.502958,2.370778,0.13217999999999996
noise,ALLD,ALLC,2.008653,2.150778,-0.14212500000000006
noise,ALLD,TFT,2.008653,2.346069,-0.33741600000000016
noise,ALLD,CTFT,2.008653,2.423653,-0.41500000000000004
noise,ALLD,PAVLOV,2.008653,2.256444,-0.24779100000000032
noise,ALLD,Empath,2.008653,2.378278,-0.3696250000000001
noise,ALLD,Reflector,2.008653,2.370778,-0.36212500000000025
