generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,2,0.010000
1,ALLD,0,0.000000
1,CTFT,48,0.240000
1,Empath,22,0.110000
1,GRIM,7,0.035000
1,PAVLOV,22,0.110000
1,PROBER,42,0.210000
1,Reflector,15,0.075000
1,TFT,42,0.210000
2,ALLC,0,0.000000
2,ALLD,0,0.000000
2,CTFT,59,0.295000
2,Empath,23,0.115000
2,GRIM,3,0.015000
2,PAVLOV,9,0.045000
2,PROBER,47,0.235000
2,Reflector,15,0.075000
2,TFT,44,0.220000
3,ALLC,0,0.000000
3,ALLD,0,0.000000
3,CTFT,62,0.310000
3,Empath,24,0.120000
3,GRIM,1,0.005000
3,PAVLOV,4,0.020000
3,PROBER,47,0.235000
3,Reflector,14,0.070000
3,TFT,48,0.240000
4,ALLC,2,0.010000
4,ALLD,0,0.000000
4,CTFT,71,0.355000
4,Empath,24,0.120000
4,GRIM,0,0.000000
4,PAVLOV,1,0.005000
4,PROBER,47,0.235000
4,Reflector,13,0.065000
4,TFT,42,0.210000
5,ALLC,0,0.000000
5,ALLD,2,0.010000
5,CTFT,72,0.360000
5,Empath,32,0.160000
5,GRIM,1,0.005000
5,PAVLOV,0,0.000000
5,PROBER,43,0.215000
5,Reflector,10,0.050000
5,TFT,40,0.200000
6,ALLC,1,0.005000
6,ALLD,1,0.005000
6,CTFT,78,0.390000
6,Empath,24,0.120000
6,GRIM,0,0.000000
6,PAVLOV,0,0.000000
6,PROBER,52,0.260000
6,Reflector,10,0.050000
6,TFT,34,0.170000
7,ALLC,1,0.005000
7,ALLD,0,0.000000
7,CTFT,93,0.465000
7,Empath,17,0.085000
7,GRIM,0,0.000000
7,PAVLOV,0,0.000000
7,PROBER,54,0.270000
7,Reflector,8,0.040000
7,TFT,27,0.135000
8,ALLC,0,0.000000
8,ALLD,0,0.000000
8,CTFT,96,0.480000
8,Empath,11,0.055000
8,GRIM,1,0.005000
8,PAVLOV,1,0.005000
8,PROBER,60,0.300000
8,Reflector,7,0.035000
8,TFT,24,0.120000
9,ALLC,0,0.000000
9,ALLD,0,0.000000
9,CTFT,93,0.465000
9,Empath,11,0.055000
9,GRIM,1,0.005000
9,PAVLOV,1,0.005000
9,PROBER,60,0.300000
9,Reflector,5,0.025000
9,TFT,29,0.145000
10,ALLC,0,0.000000
10,ALLD,0,0.000000
10,CTFT,102,0.510000
10,Empath,6,0.030000
10,GRIM,1,0.005000
10,PAVLOV,2,0.010000
10,PROBER,51,0.255000
10,Reflector,11,0.055000
10,TFT,27,0.135000
11,ALLC,0,0.000000
11,ALLD,0,0.000000
11,CTFT,99,0.495000
11,Empath,9,0.045000
11,GRIM,1,0.005000
11,PAVLOV,3,0.015000
11,PROBER,53,0.265000
11,Reflector,11,0.055000
11,TFT,24,0.120000
12,ALLC,1,0.005000
12,ALLD,1,0.005000
12,CTFT,105,0.525000
12,Empath,6,0.030000
12,GRIM,0,0.000000
12,PAVLOV,1,0.005000
12,PROBER,48,0.240000
12,Reflector,11,0.055000
12,TFT,27,0.135000
13,ALLC,0,0.000000
13,ALLD,1,0.005000
13,CTFT,101,0.505000
13,Empath,6,0.030000
13,GRIM,0,0.000000
13,PAVLOV,1,0.005000
13,PROBER,57,0.285000
13,Reflector,12,0.060000
13,TFT,22,0.110000
14,ALLC,1,0.005000
14,ALLD,1,0.005000
14,CTFT,105,0.525000
14,Empath,10,0.050000
14,GRIM,0,0.000000
14,PAVLOV,1,0.005000
14,PROBER,57,0.285000
14,Reflector,6,0.030000
14,TFT,19,0.095000
15,ALLC,0,0.000000
15,ALLD,0,0.000000
15,CTFT,96,0.480000
15,Empath,12,0.060000
15,GRIM,0,0.000000
