scenario,strategy,max_share,min_share,dominant_flag,extinct_flag
no_scb,ALLC,0.115,0.0,False,False
no_scb,ALLD,0.115,0.0,False,False
no_scb,CTFT,0.335,0.005,False,False
no_scb,Empath,0.265,0.065,False,False
no_scb,GRIM,0.11,0.0,False,False
no_scb,PAVLOV,0.565,0.105,True,False
no_scb,PROBER,0.11,0.005,False,False
no_scb,Reflector,0.13,0.0,False,False
no_scb,TFT,0.4,0.08,False,False
with_scb,ALLC,0.975,0.115,True,False
with_scb,ALLD,0.155,0.0,False,False
with_scb,CTFT,0.11,0.0,False,False
with_scb,Empath,0.11,0.0,False,False
with_scb,GRIM,0.11,0.0,False,False
with_scb,PAVLOV,0.195,0.0,False,False
with_scb,PROBER,0.11,0.0,False,False
with_scb,Reflector,0.11,0.0,False,False
with_scb,TFT,0.26,0.0,False,False
