generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,21,0.105000
1,ALLD,0,0.000000
1,CTFT,37,0.185000
1,Empath,32,0.160000
1,GRIM,15,0.075000
1,PAVLOV,21,0.105000
1,PROBER,17,0.085000
1,Reflector,26,0.130000
1,TFT,31,0.155000
2,ALLC,15,0.075000
2,ALLD,0,0.000000
2,CTFT,41,0.205000
2,Empath,39,0.195000
2,GRIM,11,0.055000
2,PAVLOV,25,0.125000
2,PROBER,14,0.070000
2,Reflector,21,0.105000
2,TFT,34,0.170000
3,ALLC,8,0.040000
3,ALLD,1,0.005000
3,CTFT,51,0.255000
3,Empath,43,0.215000
3,GRIM,8,0.040000
3,PAVLOV,23,0.115000
3,PROBER,10,0.050000
3,Reflector,19,0.095000
3,TFT,37,0.185000
4,ALLC,7,0.035000
4,ALLD,2,0.010000
4,CTFT,53,0.265000
4,Empath,45,0.225000
4,GRIM,10,0.050000
4,PAVLOV,26,0.130000
4,PROBER,14,0.070000
4,Reflector,16,0.080000
4,TFT,27,0.135000
5,ALLC,7,0.035000
5,ALLD,1,0.005000
5,CTFT,59,0.295000
5,Empath,53,0.265000
5,GRIM,9,0.045000
5,PAVLOV,26,0.130000
5,PROBER,13,0.065000
5,Reflector,11,0.055000
5,TFT,21,0.105000
6,ALLC,3,0.015000
6,ALLD,1,0.005000
6,CTFT,62,0.310000
6,Empath,53,0.265000
6,GRIM,5,0.025000
6,PAVLOV,31,0.155000
6,PROBER,16,0.080000
6,Reflector,8,0.040000
6,TFT,21,0.105000
7,ALLC,2,0.010000
7,ALLD,1,0.005000
7,CTFT,61,0.305000
7,Empath,46,0.230000
7,GRIM,5,0.025000
7,PAVLOV,43,0.215000
7,PROBER,9,0.045000
7,Reflector,8,0.040000
7,TFT,25,0.125000
8,ALLC,4,0.020000
8,ALLD,0,0.000000
8,CTFT,62,0.310000
8,Empath,42,0.210000
8,GRIM,5,0.025000
8,PAVLOV,45,0.225000
8,PROBER,9,0.045000
8,Reflector,7,0.035000
8,TFT,26,0.130000
9,ALLC,3,0.015000
9,ALLD,0,0.000000
9,CTFT,66,0.330000
9,Empath,40,0.200000
9,GRIM,6,0.030000
9,PAVLOV,47,0.235000
9,PROBER,9,0.045000
9,Reflector,4,0.020000
9,TFT,25,0.125000
10,ALLC,0,0.000000
10,ALLD,1,0.005000
10,CTFT,67,0.335000
10,Empath,37,0.185000
10,GRIM,3,0.015000
10,PAVLOV,53,0.265000
10,PROBER,13,0.065000
10,Reflector,1,0.005000
10,TFT,25,0.125000
11,ALLC,1,0.005000
11,ALLD,0,0.000000
11,CTFT,65,0.325000
11,Empath,31,0.155000
11,GRIM,5,0.025000
11,PAVLOV,60,0.300000
11,PROBER,15,0.075000
11,Reflector,3,0.015000
11,TFT,20,0.100000
12,ALLC,2,0.010000
12,ALLD,1,0.005000
12,CTFT,54,0.270000
12,Empath,24,0.120000
12,GRIM,6,0.030000
12,PAVLOV,76,0.380000
12,PROBER,16,0.080000
12,Reflector,3,0.015000
12,TFT,18,0.090000
13,ALLC,2,0.010000
13,ALLD,0,0.000000
13,CTFT,56,0.280000
13,Empath,17,0.085000
13,GRIM,2,0.010000
13,PAVLOV,78,0.390000
13,PROBER,17,0.085000
13,Reflector,5,0.025000
13,TFT,23,0.115000
14,ALLC,1,0.005000
14,ALLD,2,0.010000
14,CTFT,65,0.325000
14,Empath,13,0.065000
14,GRIM,1,0.005000
14,PAVLOV,72,0.360000
14,PROBER,15,0.075000
14,Reflector,4,0.020000
14,TFT,27,0.135000
15,ALLC,1,0.005000
15,ALLD,0,0.000000
15,CTFT,57,0.285000
15,Empath,16,0.080000
15,GRIM,1,0.005000
