generation,ALLC,ALLD,CTFT,Empath,GRIM,PAVLOV,PROBER,Reflector,TFT
0,0.115000,0.115000,0.110000,0.110000,0.110000,0.110000,0.110000,0.110000,0.110000
1,0.240000,0.155000,0.045000,0.060000,0.100000,0.170000,0.030000,0.000000,0.200000
2,0.330000,0.130000,0.025000,0.040000,0.065000,0.195000,0.005000,0.000000,0.210000
3,0.390000,0.085000,0.010000,0.010000,0.055000,0.180000,0.005000,0.005000,0.260000
4,0.480000,0.045000,0.005000,0.005000,0.035000,0.170000,0.005000,0.000000,0.255000
5,0.565000,0.035000,0.005000,0.000000,0.040000,0.140000,0.010000,0.000000,0.205000
6,0.635000,0.030000,0.005000,0.005000,0.035000,0.120000,0.015000,0.000000,0.155000
7,0.740000,0.025000,0.000000,0.005000,0.025000,0.080000,0.005000,0.005000,0.115000
8,0.745000,0.030000,0.000000,0.000000,0.015000,0.100000,0.010000,0.000000,0.100000
9,0.820000,0.015000,0.000000,0.000000,0.010000,0.045000,0.000000,0.010000,0.100000
10,0.845000,0.015000,0.000000,0.000000,0.010000,0.035000,0.000000,0.010000,0.085000
11,0.900000,0.015000,0.000000,0.005000,0.010000,0.020000,0.000000,0.000000,0.050000
12,0.930000,0.005000,0.015000,0.005000,0.005000,0.005000,0.005000,0.000000,0.030000
13,0.960000,0.005000,0.010000,0.000000,0.000000,0.005000,0.005000,0.000000,0.015000
14,0.970000,0.005000,0.005000,0.005000,0.000000,0.005000,0.000000,0.000000,0.010000
15,0.960000,0.015000,0.010000,0.005000,0.000000,0.010000,0.000000,0.000000,0.000000
16,0.955000,0.015000,0.000000,0.000000,0.005000,0.010000,0.005000,0.010000,0.000000
17,0.965000,0.020000,0.005000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000
18,0.965000,0.010000,0.000000,0.005000,0.005000,0.010000,0.000000,0.005000,0.000000
19,0.945000,0.015000,0.000000,0.010000,0.010000,0.020000,0.000000,0.000000,0.000000
20,0.950000,0.015000,0.000000,0.010000,0.015000,0.005000,0.000000,0.005000,0.000000
21,0.965000,0.010000,0.000000,0.005000,0.005000,0.005000,0.010000,0.000000,0.000000
22,0.965000,0.005000,0.000000,0.020000,0.005000,0.000000,0.000000,0.000000,0.005000
23,0.970000,0.000000,0.000000,0.005000,0.010000,0.000000,0.000000,0.005000,0.010000
24,0.970000,0.005000,0.005000,0.000000,0.010000,0.000000,0.005000,0.000000,0.005000
25,0.970000,0.005000,0.005000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000
26,0.975000,0.000000,0.000000,0.000000,0.015000,0.000000,0.005000,0.005000,0.000000
27,0.975000,0.000000,0.000000,0.000000,0.005000,0.010000,0.005000,0.000000,0.005000
28,0.955000,0.000000,0.000000,0.005000,0.005000,0.015000,0.015000,0.005000,0.000000
29,0.970000,0.000000,0.005000,0.005000,0.010000,0.005000,0.000000,0.005000,0.000000
30,0.970000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.000000,0.000000
31,0.975000,0.000000,0.005000,0.005000,0.000000,0.005000,0.000000,0.000000,0.010000
32,0.970000,0.000000,0.005000,0.000000,0.010000,0.005000,0.000000,0.000000,0.010000
33,0.955000,0.000000,0.005000,0.005000,0.020000,0.005000,0.005000,0.005000,0.000000
34,0.950000,0.000000,0.005000,0.020000,0.015000,0.005000,0.000000,0.000000,0.005000
35,0.945000,0.005000,0.005000,0.010000,0.010000,0.010000,0.000000,0.005000,0.010000
36,0.950000,0.000000,0.000000,0.005000,0.015000,0.010000,0.000000,0.000000,0.020000
37,0.950000,0.000000,0.005000,0.000000,0.005000,0.015000,0.005000,0.000000,0.020000
38,0.930000,0.005000,0.005000,0.000000,0.020000,0.010000,0.005000,0.000000,0.025000
39,0.920000,0.005000,0.005000,0.005000,0.020000,0.010000,0.005000,0.000000,0.030000
40,0.945000,0.010000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.020000
41,0.955000,0.000000,0.000000,0.000000,0.020000,0.005000,0.010000,0.000000,0.010000
42,0.955000,0.000000,0.010000,0.000000,0.025000,0.005000,0.000000,0.005000,0.000000
43,0.975000,0.000000,0.010000,0.000000,0.010000,0.000000,0.005000,0.000000,0.000000
44,0.970000,0.000000,0.005000,0.005000,0.010000,0.000000,0.000000,0.010000,0.000000
45,0.965000,0.005000,0.015000,0.005000,0.005000,0.000000,0.005000,0.000000,0.000000
46,0.970000,0.015000,0.000000,0.000000,0.005000,0.000000,0.005000,0.000000,0.005000
47,0.975000,0.000000,0.005000,0.000000,0.010000,0.005000,0.000000,0.000000,0.005000
48,0.975000,0.005000,0.000000,0.000000,0.005000,0.000000,0.000000,0.010000,0.005000
49,0.955000,0.005000,0.000000,0.000000,0.005000,0.005000,0.010000,0.000000,0.020000
50,0.940000,0.010000,0.005000,0.010000,0.000000,0.005000,0.005000,0.005000,0.020000
