generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,48,0.240000
1,ALLD,31,0.155000
1,CTFT,9,0.045000
1,Empath,12,0.060000
1,GRIM,20,0.100000
1,PAVLOV,34,0.170000
1,PROBER,6,0.030000
1,Reflector,0,0.000000
1,TFT,40,0.200000
2,ALLC,66,0.330000
2,ALLD,26,0.130000
2,CTFT,5,0.025000
2,Empath,8,0.040000
2,GRIM,13,0.065000
2,PAVLOV,39,0.195000
2,PROBER,1,0.005000
2,Reflector,0,0.000000
2,TFT,42,0.210000
3,ALLC,78,0.390000
3,ALLD,17,0.085000
3,CTFT,2,0.010000
3,Empath,2,0.010000
3,GRIM,11,0.055000
3,PAVLOV,36,0.180000
3,PROBER,1,0.005000
3,Reflector,1,0.005000
3,TFT,52,0.260000
4,ALLC,96,0.480000
4,ALLD,9,0.045000
4,CTFT,1,0.005000
4,Empath,1,0.005000
4,GRIM,7,0.035000
4,PAVLOV,34,0.170000
4,PROBER,1,0.005000
4,Reflector,0,0.000000
4,TFT,51,0.255000
5,ALLC,113,0.565000
5,ALLD,7,0.035000
5,CTFT,1,0.005000
5,Empath,0,0.000000
5,GRIM,8,0.040000
5,PAVLOV,28,0.140000
5,PROBER,2,0.010000
5,Reflector,0,0.000000
5,TFT,41,0.205000
6,ALLC,127,0.635000
6,ALLD,6,0.030000
6,CTFT,1,0.005000
6,Empath,1,0.005000
6,GRIM,7,0.035000
6,PAVLOV,24,0.120000
6,PROBER,3,0.015000
6,Reflector,0,0.000000
6,TFT,31,0.155000
7,ALLC,148,0.740000
7,ALLD,5,0.025000
7,CTFT,0,0.000000
7,Empath,1,0.005000
7,GRIM,5,0.025000
7,PAVLOV,16,0.080000
7,PROBER,1,0.005000
7,Reflector,1,0.005000
7,TFT,23,0.115000
8,ALLC,149,0.745000
8,ALLD,6,0.030000
8,CTFT,0,0.000000
8,Empath,0,0.000000
8,GRIM,3,0.015000
8,PAVLOV,20,0.100000
8,PROBER,2,0.010000
8,Reflector,0,0.000000
8,TFT,20,0.100000
9,ALLC,164,0.820000
9,ALLD,3,0.015000
9,CTFT,0,0.000000
9,Empath,0,0.000000
9,GRIM,2,0.010000
9,PAVLOV,9,0.045000
9,PROBER,0,0.000000
9,Reflector,2,0.010000
9,TFT,20,0.100000
10,ALLC,169,0.845000
10,ALLD,3,0.015000
10,CTFT,0,0.000000
10,Empath,0,0.000000
10,GRIM,2,0.010000
10,PAVLOV,7,0.035000
10,PROBER,0,0.000000
10,Reflector,2,0.010000
10,TFT,17,0.085000
11,ALLC,180,0.900000
11,ALLD,3,0.015000
11,CTFT,0,0.000000
11,Empath,1,0.005000
11,GRIM,2,0.010000
11,PAVLOV,4,0.020000
11,PROBER,0,0.000000
11,Reflector,0,0.000000
11,TFT,10,0.050000
12,ALLC,186,0.930000
12,ALLD,1,0.005000
12,CTFT,3,0.015000
12,Empath,1,0.005000
12,GRIM,1,0.005000
12,PAVLOV,1,0.005000
12,PROBER,1,0.005000
12,Reflector,0,0.000000
12,TFT,6,0.030000
13,ALLC,192,0.960000
13,ALLD,1,0.005000
13,CTFT,2,0.010000
13,Empath,0,0.000000
13,GRIM,0,0.000000
13,PAVLOV,1,0.005000
13,PROBER,1,0.005000
13,Reflector,0,0.000000
13,TFT,3,0.015000
14,ALLC,194,0.970000
14,ALLD,1,0.005000
14,CTFT,1,0.005000
14,Empath,1,0.005000
14,GRIM,0,0.000000
14,PAVLOV,1,0.005000
14,PROBER,0,0.000000
14,Reflector,0,0.000000
14,TFT,2,0.010000
15,ALLC,192,0.960000
15,ALLD,3,0.015000
15,CTFT,2,0.010000
15,Empath,1,0.005000
15,GRIM,0,0.000000
