generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,2,0.010000
1,ALLD,0,0.000000
1,CTFT,38,0.190000
1,Empath,32,0.160000
1,GRIM,5,0.025000
1,PAVLOV,18,0.090000
1,PROBER,39,0.195000
1,Reflector,32,0.160000
1,TFT,34,0.170000
2,ALLC,0,0.000000
2,ALLD,0,0.000000
2,CTFT,44,0.220000
2,Empath,32,0.160000
2,GRIM,1,0.005000
2,PAVLOV,10,0.050000
2,PROBER,47,0.235000
2,Reflector,31,0.155000
2,TFT,35,0.175000
3,ALLC,0,0.000000
3,ALLD,0,0.000000
3,CTFT,49,0.245000
3,Empath,30,0.150000
3,GRIM,0,0.000000
3,PAVLOV,5,0.025000
3,PROBER,53,0.265000
3,Reflector,29,0.145000
3,TFT,34,0.170000
4,ALLC,0,0.000000
4,ALLD,0,0.000000
4,CTFT,53,0.265000
4,Empath,27,0.135000
4,GRIM,0,0.000000
4,PAVLOV,2,0.010000
4,PROBER,59,0.295000
4,Reflector,26,0.130000
4,TFT,33,0.165000
5,ALLC,0,0.000000
5,ALLD,0,0.000000
5,CTFT,56,0.280000
5,Empath,25,0.125000
5,GRIM,0,0.000000
5,PAVLOV,1,0.005000
5,PROBER,65,0.325000
5,Reflector,23,0.115000
5,TFT,30,0.150000
6,ALLC,0,0.000000
6,ALLD,0,0.000000
6,CTFT,59,0.295000
6,Empath,23,0.115000
6,GRIM,0,0.000000
6,PAVLOV,1,0.005000
6,PROBER,70,0.350000
6,Reflector,20,0.100000
6,TFT,27,0.135000
7,ALLC,0,0.000000
7,ALLD,0,0.000000
7,CTFT,62,0.310000
7,Empath,21,0.105000
7,GRIM,0,0.000000
7,PAVLOV,1,0.005000
7,PROBER,74,0.370000
7,Reflector,17,0.085000
7,TFT,25,0.125000
8,ALLC,0,0.000000
8,ALLD,0,0.000000
8,CTFT,64,0.320000
8,Empath,18,0.090000
8,GRIM,0,0.000000
8,PAVLOV,1,0.005000
8,PROBER,78,0.390000
8,Reflector,15,0.075000
8,TFT,24,0.120000
9,ALLC,0,0.000000
9,ALLD,0,0.000000
9,CTFT,66,0.330000
9,Empath,16,0.080000
9,GRIM,0,0.000000
9,PAVLOV,0,0.000000
9,PROBER,82,0.410000
9,Reflector,13,0.065000
9,TFT,23,0.115000
10,ALLC,0,0.000000
10,ALLD,0,0.000000
10,CTFT,68,0.340000
10,Empath,14,0.070000
10,GRIM,0,0.000000
10,PAVLOV,0,0.000000
10,PROBER,85,0.425000
10,Reflector,11,0.055000
10,TFT,22,0.110000
11,ALLC,0,0.000000
11,ALLD,0,0.000000
11,CTFT,70,0.350000
11,Empath,12,0.060000
11,GRIM,0,0.000000
11,PAVLOV,0,0.000000
11,PROBER,88,0.440000
11,Reflector,9,0.045000
11,TFT,21,0.105000
12,ALLC,0,0.000000
12,ALLD,0,0.000000
12,CTFT,71,0.355000
12,Empath,10,0.050000
12,GRIM,0,0.000000
12,PAVLOV,0,0.000000
12,PROBER,91,0.455000
12,Reflector,8,0.040000
12,TFT,20,0.100000
13,ALLC,0,0.000000
13,ALLD,0,0.000000
13,CTFT,72,0.360000
13,Empath,8,0.040000
13,GRIM,0,0.000000
13,PAVLOV,0,0.000000
13,PROBER,94,0.470000
13,Reflector,7,0.035000
13,TFT,19,0.095000
14,ALLC,0,0.000000
14,ALLD,0,0.000000
14,CTFT,73,0.365000
14,Empath,7,0.035000
14,GRIM,0,0.000000
14,PAVLOV,0,0.000000
14,PROBER,96,0.480000
14,Reflector,6,0.030000
14,TFT,18,0.090000
15,ALLC,0,0.000000
15,ALLD,0,0.000000
15,CTFT,75,0.375000
15,Empath,6,0.030000
15,GRIM,0,0.000000
