generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,19,0.095000
1,ALLD,0,0.000000
1,CTFT,28,0.140000
1,Empath,28,0.140000
1,GRIM,20,0.100000
1,PAVLOV,28,0.140000
1,PROBER,28,0.140000
1,Reflector,21,0.105000
1,TFT,28,0.140000
2,ALLC,13,0.065000
2,ALLD,0,0.000000
2,CTFT,31,0.155000
2,Empath,31,0.155000
2,GRIM,16,0.080000
2,PAVLOV,31,0.155000
2,PROBER,30,0.150000
2,Reflector,17,0.085000
2,TFT,31,0.155000
3,ALLC,9,0.045000
3,ALLD,0,0.000000
3,CTFT,33,0.165000
3,Empath,33,0.165000
3,GRIM,12,0.060000
3,PAVLOV,34,0.170000
3,PROBER,32,0.160000
3,Reflector,14,0.070000
3,TFT,33,0.165000
4,ALLC,6,0.030000
4,ALLD,0,0.000000
4,CTFT,35,0.175000
4,Empath,35,0.175000
4,GRIM,9,0.045000
4,PAVLOV,36,0.180000
4,PROBER,33,0.165000
4,Reflector,11,0.055000
4,TFT,35,0.175000
5,ALLC,4,0.020000
5,ALLD,0,0.000000
5,CTFT,37,0.185000
5,Empath,36,0.180000
5,GRIM,7,0.035000
5,PAVLOV,38,0.190000
5,PROBER,34,0.170000
5,Reflector,8,0.040000
5,TFT,36,0.180000
6,ALLC,3,0.015000
6,ALLD,0,0.000000
6,CTFT,38,0.190000
6,Empath,37,0.185000
6,GRIM,5,0.025000
6,PAVLOV,40,0.200000
6,PROBER,34,0.170000
6,Reflector,6,0.030000
6,TFT,37,0.185000
7,ALLC,2,0.010000
7,ALLD,0,0.000000
7,CTFT,39,0.195000
7,Empath,38,0.190000
7,GRIM,4,0.020000
7,PAVLOV,41,0.205000
7,PROBER,34,0.170000
7,Reflector,4,0.020000
7,TFT,38,0.190000
8,ALLC,1,0.005000
8,ALLD,0,0.000000
8,CTFT,40,0.200000
8,Empath,38,0.190000
8,GRIM,3,0.015000
8,PAVLOV,42,0.210000
8,PROBER,34,0.170000
8,Reflector,3,0.015000
8,TFT,39,0.195000
9,ALLC,1,0.005000
9,ALLD,0,0.000000
9,CTFT,41,0.205000
9,Empath,38,0.190000
9,GRIM,2,0.010000
9,PAVLOV,43,0.215000
9,PROBER,34,0.170000
9,Reflector,2,0.010000
9,TFT,39,0.195000
10,ALLC,1,0.005000
10,ALLD,0,0.000000
10,CTFT,41,0.205000
10,Empath,38,0.190000
10,GRIM,1,0.005000
10,PAVLOV,44,0.220000
10,PROBER,34,0.170000
10,Reflector,2,0.010000
10,TFT,39,0.195000
11,ALLC,1,0.005000
11,ALLD,0,0.000000
11,CTFT,41,0.205000
11,Empath,38,0.190000
11,GRIM,1,0.005000
11,PAVLOV,45,0.225000
11,PROBER,33,0.165000
11,Reflector,2,0.010000
11,TFT,39,0.195000
12,ALLC,1,0.005000
12,ALLD,0,0.000000
12,CTFT,41,0.205000
12,Empath,38,0.190000
12,GRIM,1,0.005000
12,PAVLOV,46,0.230000
12,PROBER,32,0.160000
12,Reflector,2,0.010000
12,TFT,39,0.195000
13,ALLC,1,0.005000
13,ALLD,0,0.000000
13,CTFT,41,0.205000
13,Empath,38,0.190000
13,GRIM,1,0.005000
13,PAVLOV,47,0.235000
13,PROBER,31,0.155000
13,Reflector,2,0.010000
13,TFT,39,0.195000
14,ALLC,1,0.005000
14,ALLD,0,0.000000
14,CTFT,41,0.205000
14,Empath,38,0.190000
14,GRIM,1,0.005000
14,PAVLOV,48,0.240000
14,PROBER,30,0.150000
14,Reflector,2,0.010000
14,TFT,39,0.195000
15,ALLC,1,0.005000
15,ALLD,0,0.000000
15,CTFT,41,0.205000
15,Empath,38,0.190000
15,GRIM,1,0.005000
