generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,51,0.255000
1,ALLD,29,0.145000
1,CTFT,9,0.045000
1,Empath,8,0.040000
1,GRIM,25,0.125000
1,PAVLOV,35,0.175000
1,PROBER,8,0.040000
1,Reflector,0,0.000000
1,TFT,35,0.175000
2,ALLC,75,0.375000
2,ALLD,25,0.125000
2,CTFT,2,0.010000
2,Empath,2,0.010000
2,GRIM,20,0.100000
2,PAVLOV,37,0.185000
2,PROBER,2,0.010000
2,Reflector,0,0.000000
2,TFT,37,0.185000
3,ALLC,97,0.485000
3,ALLD,20,0.100000
3,CTFT,0,0.000000
3,Empath,0,0.000000
3,GRIM,13,0.065000
3,PAVLOV,35,0.175000
3,PROBER,0,0.000000
3,Reflector,0,0.000000
3,TFT,35,0.175000
4,ALLC,116,0.580000
4,ALLD,15,0.075000
4,CTFT,0,0.000000
4,Empath,0,0.000000
4,GRIM,8,0.040000
4,PAVLOV,31,0.155000
4,PROBER,0,0.000000
4,Reflector,0,0.000000
4,TFT,30,0.150000
5,ALLC,133,0.665000
5,ALLD,11,0.055000
5,CTFT,0,0.000000
5,Empath,0,0.000000
5,GRIM,5,0.025000
5,PAVLOV,26,0.130000
5,PROBER,0,0.000000
5,Reflector,0,0.000000
5,TFT,25,0.125000
6,ALLC,146,0.730000
6,ALLD,8,0.040000
6,CTFT,0,0.000000
6,Empath,0,0.000000
6,GRIM,3,0.015000
6,PAVLOV,22,0.110000
6,PROBER,0,0.000000
6,Reflector,0,0.000000
6,TFT,21,0.105000
7,ALLC,157,0.785000
7,ALLD,6,0.030000
7,CTFT,0,0.000000
7,Empath,0,0.000000
7,GRIM,2,0.010000
7,PAVLOV,18,0.090000
7,PROBER,0,0.000000
7,Reflector,0,0.000000
7,TFT,17,0.085000
8,ALLC,165,0.825000
8,ALLD,5,0.025000
8,CTFT,0,0.000000
8,Empath,0,0.000000
8,GRIM,1,0.005000
8,PAVLOV,15,0.075000
8,PROBER,0,0.000000
8,Reflector,0,0.000000
8,TFT,14,0.070000
9,ALLC,171,0.855000
9,ALLD,4,0.020000
9,CTFT,0,0.000000
9,Empath,0,0.000000
9,GRIM,1,0.005000
9,PAVLOV,12,0.060000
9,PROBER,0,0.000000
9,Reflector,0,0.000000
9,TFT,12,0.060000
10,ALLC,175,0.875000
10,ALLD,2,0.010000
10,CTFT,0,0.000000
10,Empath,0,0.000000
10,GRIM,1,0.005000
10,PAVLOV,11,0.055000
10,PROBER,0,0.000000
10,Reflector,0,0.000000
10,TFT,11,0.055000
11,ALLC,178,0.890000
11,ALLD,1,0.005000
11,CTFT,0,0.000000
11,Empath,0,0.000000
11,GRIM,1,0.005000
11,PAVLOV,10,0.050000
11,PROBER,0,0.000000
11,Reflector,0,0.000000
11,TFT,10,0.050000
12,ALLC,180,0.900000
12,ALLD,1,0.005000
12,CTFT,0,0.000000
12,Empath,0,0.000000
12,GRIM,1,0.005000
12,PAVLOV,9,0.045000
12,PROBER,0,0.000000
12,Reflector,0,0.000000
12,TFT,9,0.045000
13,ALLC,181,0.905000
13,ALLD,1,0.005000
13,CTFT,0,0.000000
13,Empath,0,0.000000
13,GRIM,0,0.000000
13,PAVLOV,9,0.045000
13,PROBER,0,0.000000
13,Reflector,0,0.000000
13,TFT,9,0.045000
14,ALLC,182,0.910000
14,ALLD,0,0.000000
14,CTFT,0,0.000000
14,Empath,0,0.000000
14,GRIM,0,0.000000
14,PAVLOV,9,0.045000
14,PROBER,0,0.000000
14,Reflector,0,0.000000
14,TFT,9,0.045000
15,ALLC,183,0.915000
15,ALLD,0,0.000000
15,CTFT,0,0.000000
15,Empath,0,0.000000
15,GRIM,0,0.000000
